bola;dezena;quantidade de vezes
Bola1;1;293
Bola1;2;270
Bola1;3;231
Bola1;4;248
Bola1;5;215
Bola1;6;188
Bola1;7;181
Bola1;8;166
Bola1;9;145
Bola1;10;159
Bola1;11;106
Bola1;12;95
Bola1;13;79
Bola1;14;79
Bola1;15;68
Bola1;16;62
Bola1;17;63
Bola1;18;40
Bola1;19;42
Bola1;20;46
Bola1;21;29
Bola1;22;28
Bola1;23;29
Bola1;24;17
Bola1;25;22
Bola1;26;16
Bola1;27;12
Bola1;28;12
Bola1;29;11
Bola1;30;7
Bola1;31;7
Bola1;32;3
Bola1;33;5
Bola1;34;2
Bola1;35;3
Bola1;36;1
Bola1;37;1
Bola1;38;1
Bola1;39;1
Bola1;41;2
Bola1;43;1
Bola1;46;1
Bola1;50;1
Bola2;2;27
Bola2;3;45
Bola2;4;62
Bola2;5;95
Bola2;6;100
Bola2;7;76
Bola2;8;108
Bola2;9;117
Bola2;10;141
Bola2;11;138
Bola2;12;122
Bola2;13;150
Bola2;14;111
Bola2;15;115
Bola2;16;143
Bola2;17;121
Bola2;18;122
Bola2;19;96
Bola2;20;98
Bola2;21;76
Bola2;22;82
Bola2;23;106
Bola2;24;81
Bola2;25;67
Bola2;26;56
Bola2;27;95
Bola2;28;56
Bola2;29;57
Bola2;30;45
Bola2;31;43
Bola2;32;38
Bola2;33;34
Bola2;34;18
Bola2;35;23
Bola2;36;26
Bola2;37;25
Bola2;38;12
Bola2;39;8
Bola2;40;16
Bola2;41;10
Bola2;42;4
Bola2;43;5
Bola2;44;7
Bola2;45;3
Bola2;46;1
Bola2;47;3
Bola2;48;2
Bola2;50;1
Bola2;51;1
Bola3;3;2
Bola3;4;4
Bola3;5;14
Bola3;6;13
Bola3;7;22
Bola3;8;19
Bola3;9;23
Bola3;10;44
Bola3;11;60
Bola3;12;53
Bola3;13;66
Bola3;14;82
Bola3;15;68
Bola3;16;79
Bola3;17;99
Bola3;18;80
Bola3;19;105
Bola3;20;93
Bola3;21;87
Bola3;22;89
Bola3;23;111
Bola3;24;116
Bola3;25;101
Bola3;26;94
Bola3;27;96
Bola3;28;122
Bola3;29;102
Bola3;30;112
Bola3;31;98
Bola3;32;102
Bola3;33;83
Bola3;34;104
Bola3;35;74
Bola3;36;68
Bola3;37;75
Bola3;38;67
Bola3;39;51
Bola3;40;48
Bola3;41;34
Bola3;42;45
Bola3;43;37
Bola3;44;33
Bola3;45;28
Bola3;46;22
Bola3;47;16
Bola3;48;12
Bola3;49;9
Bola3;50;12
Bola3;51;4
Bola3;52;3
Bola3;53;3
Bola3;54;2
Bola3;55;1
Bola3;56;1
Bola4;7;1
Bola4;8;2
Bola4;9;3
Bola4;10;8
Bola4;11;7
Bola4;12;9
Bola4;13;14
Bola4;14;17
Bola4;15;17
Bola4;16;23
Bola4;17;28
Bola4;18;38
Bola4;19;41
Bola4;20;44
Bola4;21;47
Bola4;22;49
Bola4;23;47
Bola4;24;71
Bola4;25;77
Bola4;26;63
Bola4;27;83
Bola4;28;76
Bola4;29;86
Bola4;30;97
Bola4;31;80
Bola4;32;110
Bola4;33;118
Bola4;34;119
Bola4;35;124
Bola4;36;104
Bola4;37;125
Bola4;38;113
Bola4;39;113
Bola4;40;104
Bola4;41;117
Bola4;42;90
Bola4;43;96
Bola4;44;98
Bola4;45;64
Bola4;46;96
Bola4;47;73
Bola4;48;42
Bola4;49;45
Bola4;50;46
Bola4;51;35
Bola4;52;36
Bola4;53;30
Bola4;54;28
Bola4;55;14
Bola4;56;10
Bola4;57;8
Bola4;58;2
Bola5;11;2
Bola5;12;1
Bola5;14;1
Bola5;15;2
Bola5;16;1
Bola5;17;4
Bola5;18;5
Bola5;19;6
Bola5;20;11
Bola5;21;12
Bola5;22;17
Bola5;23;18
Bola5;24;11
Bola5;25;24
Bola5;26;16
Bola5;27;28
Bola5;28;35
Bola5;29;33
Bola5;30;46
Bola5;31;41
Bola5;32;54
Bola5;33;68
Bola5;34;60
Bola5;35;71
Bola5;36;84
Bola5;37;73
Bola5;38;99
Bola5;39;84
Bola5;40;92
Bola5;41;114
Bola5;42;134
Bola5;43;127
Bola5;44;111
Bola5;45;128
Bola5;46;137
Bola5;47;110
Bola5;48;117
Bola5;49;126
Bola5;50;110
Bola5;51;129
Bola5;52;120
Bola5;53;127
Bola5;54;93
Bola5;55;83
Bola5;56;78
Bola5;57;73
Bola5;58;46
Bola5;59;26
Bola6;22;2
Bola6;24;2
Bola6;25;3
Bola6;26;1
Bola6;27;4
Bola6;28;7
Bola6;29;6
Bola6;30;7
Bola6;31;6
Bola6;32;12
Bola6;33;11
Bola6;34;18
Bola6;35;20
Bola6;36;19
Bola6;37;26
Bola6;38;27
Bola6;39;28
Bola6;40;22
Bola6;41;33
Bola6;42;42
Bola6;43;47
Bola6;44;65
Bola6;45;69
Bola6;46;60
Bola6;47;84
Bola6;48;104
Bola6;49;123
Bola6;50;122
Bola6;51;133
Bola6;52;142
Bola6;53;181
Bola6;54;187
Bola6;55;158
Bola6;56;225
Bola6;57;205
Bola6;58;237
Bola6;59;262
Bola6;60;288
